BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
157,2024-02-29,401,Sales Revenue,0,5938.9
157,2024-02-29,501,Cost of Goods Sold,3860.285,0
157,2024-02-29,103,Inventory,0,3860.285
157,2024-02-29,102,Accounts Receivable,5938.9,0
157,Description:,Sales completed,,,,
157,2024-03-04,301,Owner's Equity,0,2078.6149999999907
158,2024-03-04,201,Accounts Payable,881.08,0
158,2024-03-04,101,Cash,0,881.08
158,Description:,Reduced payable amount,,,,
158,2024-03-14,301,Owner's Equity,0,2.9103830456733704e-11
159,2024-03-14,201,Accounts Payable,636.21,0
159,2024-03-14,101,Cash,0,636.21
159,Description:,Paid off a creditor,,,,
160,2024-03-16,401,Sales Revenue,0,7708.94
160,2024-03-16,501,Cost of Goods Sold,5010.811,0
160,2024-03-16,103,Inventory,0,5010.811
160,2024-03-16,102,Accounts Receivable,7708.94,0
160,Description:,Sales completed,,,,
160,2024-03-21,301,Owner's Equity,0,2698.1290000000154
161,2024-03-21,401,Sales Revenue,0,5627.51
161,2024-03-21,501,Cost of Goods Sold,3657.8815000000004,0
161,2024-03-21,103,Inventory,0,3657.8815000000004
161,2024-03-21,102,Accounts Receivable,5627.51,0
161,Description:,Sales completed,,,,
161,2024-03-26,301,Owner's Equity,0,1969.6284999999916
162,2024-03-26,502,Rent Expense,995.38,0
162,2024-03-26,503,Salary Expense,2882.82,0
162,2024-03-26,101,Cash,0,3878.2000000000003
162,Description:,Monthly bills paid,,,,
162,2024-03-28,301,Owner's Equity,3878.2000000000116,0
163,2024-03-28,401,Sales Revenue,0,3360.67
163,2024-03-28,501,Cost of Goods Sold,2184.4355,0
163,2024-03-28,103,Inventory,0,2184.4355
163,2024-03-28,102,Accounts Receivable,3360.67,0
163,Description:,Items sold,,,,
163,2024-04-05,301,Owner's Equity,0,1176.2344999999914
164,2024-04-05,101,Cash,0,5135.93
164,2024-04-05,202,Loan Payable,5135.93,0
164,Description:,Loan account adjustments,,,,
165,2024-04-13,401,Sales Revenue,0,3786.85
165,2024-04-13,501,Cost of Goods Sold,2461.4525,0
165,2024-04-13,103,Inventory,0,2461.4525
165,2024-04-13,102,Accounts Receivable,3786.85,0
165,Description:,Items sold,,,,
165,2024-04-18,301,Owner's Equity,0,1325.3975000000064
166,2024-04-18,201,Accounts Payable,733.67,0
166,2024-04-18,101,Cash,0,733.67
166,Description:,Debt payment,,,,
166,2024-04-24,301,Owner's Equity,1.4551915228366852e-11,0
167,2024-04-24,103,Inventory,1306.23,0
167,2024-04-24,201,Accounts Payable,0,1306.23
167,Description:,Restocking products,,,,
168,2024-04-27,101,Cash,0,6714.67
168,2024-04-27,202,Loan Payable,6714.67,0
168,Description:,Loan account adjustments,,,,
169,2024-05-07,201,Accounts Payable,618.34,0
169,2024-05-07,101,Cash,0,618.34
169,Description:,Paid off a creditor,,,,
170,2024-05-14,201,Accounts Payable,1140.05,0
170,2024-05-14,101,Cash,0,1140.05
170,Description:,Paid off a creditor,,,,
171,2024-05-22,201,Accounts Payable,1511.7,0
171,2024-05-22,101,Cash,0,1511.7
171,Description:,Reduced payable amount,,,,
172,2024-05-29,401,Sales Revenue,0,2608.75
172,2024-05-29,501,Cost of Goods Sold,1695.6875,0
172,2024-05-29,103,Inventory,0,1695.6875
172,2024-05-29,102,Accounts Receivable,2608.75,0
172,Description:,Goods exchanged for money,,,,
172,2024-06-03,301,Owner's Equity,0,913.0625
173,Description:,Sales completed,ANOMALY,,,
174,2024-06-06,201,Accounts Payable,1694.42,0
174,2024-06-06,101,Cash,0,1694.42
174,Description:,Paid off a creditor,,,,
174,2024-06-15,301,Owner's Equity,2.9103830456733704e-11,0
175,Description:,Sales completed,,,,
176,2024-06-25,101,Cash,8163.29,0
176,2024-06-25,202,Loan Payable,0,8163.29
176,Description:,Loan account adjustments,,,,
177,2024-06-27,101,Cash,0,7500.63
177,2024-06-27,202,Loan Payable,7500.63,0
177,Description:,Loan activity,,,,
178,2024-07-04,103,Inventory,2051.97,0
178,2024-07-04,201,Accounts Payable,0,2051.97
178,Description:,Goods purchased,,,,
179,2024-07-13,401,Sales Revenue,0,3937.67
179,2024-07-13,501,Cost of Goods Sold,2559.4855000000002,0
179,2024-07-13,103,Inventory,0,2559.4855000000002
179,2024-07-13,101,Cash,3937.67,0
179,Description:,Sales completed,,,,
179,2024-07-19,301,Owner's Equity,0,1378.1845000000176
180,Description:,Sales completed,,,,
180,2024-07-22,301,Owner's Equity,0,1.4551915228366852e-11
181,2024-07-22,502,Rent Expense,1863.12,0
181,2024-07-22,503,Salary Expense,3013.81,0
181,2024-07-22,101,Cash,0,4876.93
181,Description:,Operational costs deducted,,,,
181,2024-07-31,301,Owner's Equity,4876.930000000008,0
182,2024-07-31,103,Inventory,4860.5,0
182,2024-07-31,201,Accounts Payable,0,4860.5
182,Description:,Goods purchased,,,,
182,2024-08-03,301,Owner's Equity,0,1.4551915228366852e-11
183,2024-08-03,101,Cash,0,9460.48
183,2024-08-03,202,Loan Payable,9460.48,0
183,Description:,Loan activity,,,,
183,2024-08-11,301,Owner's Equity,1.4551915228366852e-11,0
184,2024-08-11,401,Sales Revenue,0,3617.82
184,2024-08-11,501,Cost of Goods Sold,2351.583,0
184,2024-08-11,103,Inventory,0,2351.583
184,2024-08-11,101,Cash,3617.82,0
184,Description:,Goods exchanged for money,,,,
184,2024-08-14,301,Owner's Equity,0,1266.2370000000228
185,2024-08-14,101,Cash,0,8661.63
185,2024-08-14,202,Loan Payable,8661.63,0
185,Description:,Loan activity,,,,
186,2024-08-16,401,Sales Revenue,0,4572.87
186,2024-08-16,501,Cost of Goods Sold,2972.3655,0
186,2024-08-16,103,Inventory,0,2972.3655
186,2024-08-16,101,Cash,4572.87,0
186,Description:,Goods exchanged for money,,,,
186,2024-08-19,301,Owner's Equity,0,1600.5044999999955
187,2024-08-19,502,Rent Expense,8587.7,0
187,2024-08-19,503,Salary Expense,54610.5,0
187,2024-08-19,101,Cash,0,63198.2
187,Description:,Regular expenses,ANOMALY,,,
187,2024-08-26,301,Owner's Equity,63198.20000000004,0
188,Description:,Goods exchanged for money,,,,
189,2024-08-27,103,Inventory,2811.16,0
189,2024-08-27,201,Accounts Payable,0,2811.16
189,Description:,Added to inventory,,,,
190,2024-09-03,201,Accounts Payable,1347.51,0
190,2024-09-03,101,Cash,0,1347.51
190,Description:,Debt payment,,,,
191,2024-09-13,103,Inventory,1914.16,0
191,2024-09-13,201,Accounts Payable,0,1914.16
191,Description:,Restocking products,,,,
191,2024-09-19,301,Owner's Equity,0,2.9103830456733704e-11
192,2024-09-19,101,Cash,9346.81,0
192,2024-09-19,202,Loan Payable,0,9346.81
192,Description:,Bank interactions,,,,
193,2024-09-26,101,Cash,0,7501.02
193,2024-09-26,202,Loan Payable,7501.02,0
193,Description:,Loan account adjustments,,,,
193,2024-10-05,301,Owner's Equity,5.820766091346741e-11,0
194,2024-10-05,101,Cash,8630.92,0
194,2024-10-05,202,Loan Payable,0,8630.92
194,Description:,Loan activity,,,,
195,2024-10-07,201,Accounts Payable,1203.01,0
195,2024-10-07,101,Cash,0,1203.01
195,Description:,Reduced payable amount,,,,
195,2024-10-15,301,Owner's Equity,2.9103830456733704e-11,0
196,2024-10-15,103,Inventory,1232.46,0
196,2024-10-15,201,Accounts Payable,0,1232.46
196,Description:,Added to inventory,,,,
196,2024-10-21,301,Owner's Equity,0,2.9103830456733704e-11
197,2024-10-21,201,Accounts Payable,834.63,0
197,2024-10-21,101,Cash,0,834.63
197,Description:,Reduced payable amount,,,,
198,2024-10-28,103,Inventory,2949.02,0
198,2024-10-28,201,Accounts Payable,0,2949.02
198,Description:,Restocking products,,,,
198,2024-10-29,301,Owner's Equity,2.9103830456733704e-11,0
199,2024-10-29,401,Sales Revenue,0,7636.58
199,2024-10-29,501,Cost of Goods Sold,4963.777,0
199,2024-10-29,103,Inventory,0,4963.777
199,2024-10-29,102,Accounts Receivable,7636.58,0
199,Description:,Goods exchanged for money,,,,
199,2024-11-03,301,Owner's Equity,0,2672.8030000000144
200,2024-11-03,201,Accounts Payable,1473.8,0
200,2024-11-03,101,Cash,0,1473.8
200,Description:,Debt payment,,,,
200,2024-11-13,301,Owner's Equity,0,2.9103830456733704e-11
201,2024-11-13,103,Inventory,3066.55,0
201,2024-11-13,201,Accounts Payable,0,3066.55
201,Description:,Restocking products,,,,
201,2024-11-20,301,Owner's Equity,2.9103830456733704e-11,0
202,2024-11-20,201,Accounts Payable,1927.05,0
202,2024-11-20,101,Cash,0,1927.05
202,Description:,Paid off a creditor,,,,
202,2024-11-21,301,Owner's Equity,0,2.9103830456733704e-11
203,2024-11-21,101,Cash,0,8427.23
203,2024-11-21,202,Loan Payable,8427.23,0
203,Description:,Loan account adjustments,,,,
203,2024-11-29,301,Owner's Equity,0,2.9103830456733704e-11
204,2024-11-29,401,Sales Revenue,0,6836.51
204,2024-11-29,501,Cost of Goods Sold,4443.7315,0
204,2024-11-29,103,Inventory,0,4443.7315
204,2024-11-29,102,Accounts Receivable,6836.51,0
204,Description:,Goods exchanged for money,,,,
204,2024-12-09,301,Owner's Equity,0,2392.778499999986
205,2024-12-09,201,Accounts Payable,1131.83,0
205,2024-12-09,101,Cash,0,1131.83
205,Description:,Debt payment,,,,
206,2024-12-13,201,Accounts Payable,1715.99,0
206,2024-12-13,101,Cash,0,1715.99
206,Description:,Reduced payable amount,,,,
207,2024-12-14,401,Sales Revenue,0,3354.84
207,2024-12-14,501,Cost of Goods Sold,2180.646,0
207,2024-12-14,103,Inventory,0,2180.646
207,2024-12-14,101,Cash,3354.84,0
207,Description:,Items sold,,,,
207,2024-12-16,301,Owner's Equity,0,1174.1940000000177
208,Description:,Items sold,,,,
209,2024-12-26,101,Cash,0,7435.24
209,2024-12-26,202,Loan Payable,7435.24,0
209,Description:,Bank interactions,,,,
210,2024-12-27,103,Inventory,1514.34,0
210,2024-12-27,201,Accounts Payable,0,1514.34
210,Description:,Added to inventory,,,,
211,2025-01-04,103,Inventory,1239.29,0
211,2025-01-04,201,Accounts Payable,0,1239.29
211,Description:,Goods purchased,,,,
212,Description:,Items sold,,,,
213,2025-01-14,401,Sales Revenue,0,4674.71
213,2025-01-14,501,Cost of Goods Sold,3038.5615000000003,0
213,2025-01-14,103,Inventory,0,3038.5615000000003
213,2025-01-14,102,Accounts Receivable,4674.71,0
213,Description:,Goods exchanged for money,,,,
213,2025-01-21,301,Owner's Equity,0,1636.1485000000102
214,2025-01-21,201,Accounts Payable,1230.65,0
214,2025-01-21,101,Cash,0,1230.65
214,Description:,Reduced payable amount,,,,
214,2025-01-22,301,Owner's Equity,2.9103830456733704e-11,0
215,2025-01-22,103,Inventory,44229.0,0
215,2025-01-22,201,Accounts Payable,0,44229.0
215,Description:,Goods purchased,ANOMALY,,,
216,2025-01-24,502,Rent Expense,2121.55,0
216,2025-01-24,503,Salary Expense,5139.78,0
216,2025-01-24,101,Cash,0,7261.33
216,Description:,Regular expenses,,,,
216,2025-01-27,301,Owner's Equity,7261.330000000016,0
217,2025-01-27,201,Accounts Payable,1562.25,0
217,2025-01-27,101,Cash,0,1562.25
217,Description:,Debt payment,,,,
218,2025-02-01,103,Inventory,2156.7,0
218,2025-02-01,201,Accounts Payable,0,2156.7
218,Description:,Goods purchased,,,,
219,2025-02-08,401,Sales Revenue,0,3973.81
219,2025-02-08,501,Cost of Goods Sold,2582.9765,0
219,2025-02-08,103,Inventory,0,2582.9765
219,2025-02-08,101,Cash,3973.81,0
219,Description:,Sales completed,,,,
219,2025-02-14,301,Owner's Equity,0,1390.833500000008
220,2025-02-14,502,Rent Expense,1416.6,0
220,2025-02-14,503,Salary Expense,3436.86,0
220,2025-02-14,101,Cash,0,4853.46
220,Description:,Operational costs deducted,,,,
220,2025-02-17,301,Owner's Equity,4853.460000000021,0
221,2025-02-17,401,Sales Revenue,0,4390.32
221,2025-02-17,501,Cost of Goods Sold,2853.708,0
221,2025-02-17,103,Inventory,0,2853.708
221,2025-02-17,102,Accounts Receivable,4390.32,0
221,Description:,Goods exchanged for money,,,,
221,2025-02-21,301,Owner's Equity,0,1536.6119999999937
222,2025-02-21,103,Inventory,1962.87,0
222,2025-02-21,201,Accounts Payable,0,1962.87
222,Description:,Goods purchased,,,,
223,2025-02-23,502,Rent Expense,1325.51,0
223,2025-02-23,503,Salary Expense,5114.76,0
223,2025-02-23,101,Cash,0,6440.27
223,Description:,Regular expenses,,,,
223,2025-03-01,301,Owner's Equity,6440.270000000019,0
224,2025-03-01,401,Sales Revenue,0,3875.81
224,2025-03-01,501,Cost of Goods Sold,2519.2765,0
224,2025-03-01,103,Inventory,0,2519.2765
224,2025-03-01,102,Accounts Receivable,3875.81,0
224,Description:,Items sold,,,,
224,2025-03-07,301,Owner's Equity,0,1356.5335000000196
225,2025-03-07,101,Cash,0,7063.32
225,2025-03-07,202,Loan Payable,7063.32,0
225,Description:,Bank interactions,,,,
226,2025-03-17,401,Sales Revenue,0,5935.14
226,2025-03-17,501,Cost of Goods Sold,3857.8410000000003,0
226,2025-03-17,103,Inventory,0,3857.8410000000003
226,2025-03-17,101,Cash,5935.14,0
226,Description:,Goods exchanged for money,,,,
226,2025-03-27,301,Owner's Equity,0,2077.298999999999
227,2025-03-27,201,Accounts Payable,1971.27,0
227,2025-03-27,101,Cash,0,1971.27
227,Description:,Paid off a creditor,,,,
227,2025-03-31,301,Owner's Equity,2.9103830456733704e-11,0
228,2025-03-31,401,Sales Revenue,0,28888.4
228,2025-03-31,501,Cost of Goods Sold,18777.460000000003,0
228,2025-03-31,103,Inventory,0,18777.460000000003
228,2025-03-31,102,Accounts Receivable,28888.4,0
228,Description:,Sales completed,ANOMALY,,,
228,2025-04-08,301,Owner's Equity,0,10110.940000000002
229,Description:,Sales completed,ANOMALY,,,
230,2025-04-16,201,Accounts Payable,1163.05,0
230,2025-04-16,101,Cash,0,1163.05
230,Description:,Paid off a creditor,,,,
230,2025-04-20,301,Owner's Equity,0,2.9103830456733704e-11
231,2025-04-20,101,Cash,0,9304.61
231,2025-04-20,202,Loan Payable,9304.61,0
231,Description:,Bank interactions,,,,
232,2025-04-29,101,Cash,6765.78,0
232,2025-04-29,202,Loan Payable,0,6765.78
232,Description:,Loan activity,,,,
233,2025-05-01,101,Cash,0,9229.87
233,2025-05-01,202,Loan Payable,9229.87,0
233,Description:,Loan activity,,,,
234,2025-05-03,103,Inventory,2747.29,0
234,2025-05-03,201,Accounts Payable,0,2747.29
234,Description:,Restocking products,,,,
235,2025-05-11,201,Accounts Payable,1086.07,0
235,2025-05-11,101,Cash,0,1086.07
235,Description:,Debt payment,,,,
236,2025-05-21,103,Inventory,1552.52,0
236,2025-05-21,201,Accounts Payable,0,1552.52
236,Description:,Added to inventory,,,,
237,2025-05-29,103,Inventory,3942.91,0
237,2025-05-29,201,Accounts Payable,0,3942.91
237,Description:,Goods purchased,,,,
237,2025-06-05,301,Owner's Equity,2.9103830456733704e-11,0
238,2025-06-05,401,Sales Revenue,0,9492.04
238,2025-06-05,501,Cost of Goods Sold,6169.826000000001,0
238,2025-06-05,103,Inventory,0,6169.826000000001
238,2025-06-05,101,Cash,9492.04,0
238,Description:,Sales completed,,,,
238,2025-06-07,301,Owner's Equity,0,3322.213999999978
239,2025-06-07,103,Inventory,3746.69,0
239,2025-06-07,201,Accounts Payable,0,3746.69
239,Description:,Goods purchased,,,,
240,2025-06-14,502,Rent Expense,809.2,0
240,2025-06-14,503,Salary Expense,4960.86,0
240,2025-06-14,101,Cash,0,5770.0599999999995
240,Description:,Monthly bills paid,,,,
240,2025-06-19,301,Owner's Equity,5770.059999999998,0
241,2025-06-19,103,Inventory,664.94,0
241,2025-06-19,201,Accounts Payable,0,664.94
241,Description:,Restocking products,,,,
242,2025-06-24,103,Inventory,1099.95,0
242,2025-06-24,201,Accounts Payable,0,1099.95
242,Description:,Added to inventory,,,,
243,2025-07-03,103,Inventory,1002.57,0
243,2025-07-03,201,Accounts Payable,0,1002.57
243,Description:,Added to inventory,,,,
244,2025-07-04,201,Accounts Payable,1962.64,0
244,2025-07-04,101,Cash,0,1962.64
244,Description:,Debt payment,,,,
244,2025-07-05,301,Owner's Equity,2.9103830456733704e-11,0
245,2025-07-05,502,Rent Expense,18032.5,0
245,2025-07-05,503,Salary Expense,29691.6,0
245,2025-07-05,101,Cash,0,47724.1
245,Description:,Operational costs deducted,ANOMALY,,,
245,2025-07-14,301,Owner's Equity,47724.09999999998,0
246,2025-07-14,103,Inventory,800.55,0
246,2025-07-14,201,Accounts Payable,0,800.55
246,Description:,Added to inventory,,,,
247,2025-07-22,101,Cash,6370.25,0
247,2025-07-22,202,Loan Payable,0,6370.25
247,Description:,Loan activity,,,,
248,2025-07-24,101,Cash,0,7478.66
248,2025-07-24,202,Loan Payable,7478.66,0
248,Description:,Loan account adjustments,,,,
249,2025-08-02,201,Accounts Payable,1687.42,0
249,2025-08-02,101,Cash,0,1687.42
249,Description:,Paid off a creditor,,,,
250,2025-08-10,401,Sales Revenue,0,4844.53
250,2025-08-10,501,Cost of Goods Sold,3148.9445,0
250,2025-08-10,103,Inventory,0,3148.9445
250,2025-08-10,101,Cash,4844.53,0
250,Description:,Items sold,,,,
250,2025-08-15,301,Owner's Equity,0,1695.5855000000447
251,2025-08-15,201,Accounts Payable,1865.16,0
251,2025-08-15,101,Cash,0,1865.16
251,Description:,Reduced payable amount,,,,
251,2025-08-21,301,Owner's Equity,0,5.820766091346741e-11
252,2025-08-21,401,Sales Revenue,0,8828.28
252,2025-08-21,501,Cost of Goods Sold,5738.3820000000005,0
252,2025-08-21,103,Inventory,0,5738.3820000000005
252,2025-08-21,102,Accounts Receivable,8828.28,0
252,Description:,Goods exchanged for money,,,,
252,2025-08-27,301,Owner's Equity,0,3089.8979999999865
253,2025-08-27,103,Inventory,41188.4,0
253,2025-08-27,201,Accounts Payable,0,41188.4
253,Description:,Added to inventory,ANOMALY,,,
254,2025-09-02,201,Accounts Payable,1878.31,0
254,2025-09-02,101,Cash,0,1878.31
254,Description:,Reduced payable amount,,,,
255,2025-09-06,401,Sales Revenue,0,2970.3
255,2025-09-06,501,Cost of Goods Sold,1930.6950000000002,0
255,2025-09-06,103,Inventory,0,1930.6950000000002
255,2025-09-06,101,Cash,2970.3,0
255,Description:,Sales completed,,,,
255,2025-09-13,301,Owner's Equity,0,1039.6049999999814
256,2025-09-13,101,Cash,0,9908.18
256,2025-09-13,202,Loan Payable,9908.18,0
256,Description:,Bank interactions,,,,
257,2025-09-18,201,Accounts Payable,16430.899999999998,0
257,2025-09-18,101,Cash,0,16430.899999999998
257,Description:,Debt payment,ANOMALY,,,
257,2025-09-26,301,Owner's Equity,2.9103830456733704e-11,0
258,2025-09-26,201,Accounts Payable,1873.97,0
258,2025-09-26,101,Cash,0,1873.97
258,Description:,Paid off a creditor,,,,
258,2025-09-27,301,Owner's Equity,0,2.9103830456733704e-11
259,2025-09-27,101,Cash,0,9090.89
259,2025-09-27,202,Loan Payable,9090.89,0
259,Description:,Loan account adjustments,,,,
260,2025-09-30,401,Sales Revenue,0,4780.52
260,2025-09-30,501,Cost of Goods Sold,3107.338,0
260,2025-09-30,103,Inventory,0,3107.338
260,2025-09-30,102,Accounts Receivable,4780.52,0
260,Description:,Items sold,,,,
260,2025-10-04,301,Owner's Equity,0,1673.1819999999716
261,2025-10-04,201,Accounts Payable,523.37,0
261,2025-10-04,101,Cash,0,523.37
261,Description:,Debt payment,,,,
262,2025-10-12,401,Sales Revenue,0,3199.25
262,2025-10-12,501,Cost of Goods Sold,2079.5125000000003,0
262,2025-10-12,103,Inventory,0,2079.5125000000003
262,2025-10-12,102,Accounts Receivable,3199.25,0
262,Description:,Items sold,,,,
262,2025-10-13,301,Owner's Equity,0,1119.7375000000175
263,2025-10-13,101,Cash,0,8053.0
263,2025-10-13,202,Loan Payable,8053.0,0
263,Description:,Bank interactions,,,,
264,2025-10-23,401,Sales Revenue,0,7137.38
264,2025-10-23,501,Cost of Goods Sold,4639.2970000000005,0
264,2025-10-23,103,Inventory,0,4639.2970000000005
264,2025-10-23,101,Cash,7137.38,0
264,Description:,Goods exchanged for money,,,,
264,2025-10-29,301,Owner's Equity,0,2498.0830000000133
265,2025-10-29,101,Cash,0,7813.54
265,2025-10-29,202,Loan Payable,7813.54,0
265,Description:,Loan activity,,,,
266,2025-11-01,201,Accounts Payable,7041.7,0
266,2025-11-01,101,Cash,0,7041.7
266,Description:,Paid off a creditor,ANOMALY,,,
267,2025-11-11,401,Sales Revenue,0,10249.77
267,2025-11-11,501,Cost of Goods Sold,6662.3505000000005,0
267,2025-11-11,103,Inventory,0,6662.3505000000005
267,2025-11-11,101,Cash,10249.77,0
267,Description:,Items sold,,,,
267,2025-11-16,301,Owner's Equity,0,3587.419500000018
268,2025-11-16,101,Cash,0,5492.59
268,2025-11-16,202,Loan Payable,5492.59,0
268,Description:,Loan account adjustments,,,,
269,2025-11-17,201,Accounts Payable,950.72,0
269,2025-11-17,101,Cash,0,950.72
269,Description:,Reduced payable amount,,,,
269,2025-11-24,301,Owner's Equity,0,2.9103830456733704e-11
270,2025-11-24,103,Inventory,749.14,0
270,2025-11-24,201,Accounts Payable,0,749.14
270,Description:,Added to inventory,,,,
270,2025-11-29,301,Owner's Equity,2.9103830456733704e-11,0
271,2025-11-29,201,Accounts Payable,772.51,0
271,2025-11-29,101,Cash,0,772.51
271,Description:,Paid off a creditor,,,,
272,2025-12-08,101,Cash,0,5306.4
272,2025-12-08,202,Loan Payable,5306.4,0
272,Description:,Bank interactions,,,,
272,2025-12-12,301,Owner's Equity,2.9103830456733704e-11,0
273,2025-12-12,101,Cash,9468.44,0
273,2025-12-12,202,Loan Payable,0,9468.44
273,Description:,Loan account adjustments,,,,
273,2025-12-21,301,Owner's Equity,0,2.9103830456733704e-11
274,2025-12-21,401,Sales Revenue,0,5473.23
274,2025-12-21,501,Cost of Goods Sold,3557.5995,0
274,2025-12-21,103,Inventory,0,3557.5995
274,2025-12-21,102,Accounts Receivable,5473.23,0
274,Description:,Sales completed,,,,
274,2025-12-27,301,Owner's Equity,0,1915.6304999999993
275,2025-12-27,401,Sales Revenue,0,5347.05
275,2025-12-27,501,Cost of Goods Sold,3475.5825000000004,0
275,2025-12-27,103,Inventory,0,3475.5825000000004
275,2025-12-27,101,Cash,5347.05,0
275,Description:,Goods exchanged for money,,,,
275,2025-12-30,301,Owner's Equity,0,1871.4674999999988
276,2025-12-30,201,Accounts Payable,1640.48,0
276,2025-12-30,101,Cash,0,1640.48
276,Description:,Debt payment,,,,
276,2026-01-07,301,Owner's Equity,0,2.9103830456733704e-11
277,2026-01-07,201,Accounts Payable,1155.95,0
277,2026-01-07,101,Cash,0,1155.95
277,Description:,Paid off a creditor,,,,
277,2026-01-17,301,Owner's Equity,2.9103830456733704e-11,0
278,2026-01-17,502,Rent Expense,1020.21,0
278,2026-01-17,503,Salary Expense,4266.66,0
278,2026-01-17,101,Cash,0,5286.87
278,Description:,Monthly bills paid,,,,
278,2026-01-19,301,Owner's Equity,5286.869999999995,0
279,2026-01-19,103,Inventory,2996.21,0
279,2026-01-19,201,Accounts Payable,0,2996.21
279,Description:,Added to inventory,,,,
280,2026-01-21,401,Sales Revenue,0,4608.34
280,2026-01-21,501,Cost of Goods Sold,2995.4210000000003,0
280,2026-01-21,103,Inventory,0,2995.4210000000003
280,2026-01-21,101,Cash,4608.34,0
280,Description:,Items sold,,,,
280,2026-01-27,301,Owner's Equity,0,1612.9190000000235
281,2026-01-27,401,Sales Revenue,0,5970.18
281,2026-01-27,501,Cost of Goods Sold,3880.617,0
281,2026-01-27,103,Inventory,0,3880.617
281,2026-01-27,101,Cash,5970.18,0
281,Description:,Items sold,,,,
281,2026-02-02,301,Owner's Equity,0,2089.5629999999946
282,2026-02-02,103,Inventory,43219.2,0
282,2026-02-02,201,Accounts Payable,0,43219.2
282,Description:,Goods purchased,ANOMALY,,,
283,2026-02-07,201,Accounts Payable,6017.0,0
283,2026-02-07,101,Cash,0,6017.0
283,Description:,Debt payment,ANOMALY,,,
284,2026-02-10,201,Accounts Payable,1430.06,0
284,2026-02-10,101,Cash,0,1430.06
284,Description:,Debt payment,,,,
285,2026-02-20,101,Cash,0,7461.95
285,2026-02-20,202,Loan Payable,7461.95,0
285,Description:,Loan account adjustments,,,,
286,2026-02-25,502,Rent Expense,2217.08,0
286,2026-02-25,503,Salary Expense,4393.42,0
286,2026-02-25,101,Cash,0,6610.5
286,Description:,Regular expenses,,,,
286,2026-03-07,301,Owner's Equity,6610.5,0
287,2026-03-07,401,Sales Revenue,0,9006.55
287,2026-03-07,501,Cost of Goods Sold,5854.2575,0
287,2026-03-07,103,Inventory,0,5854.2575
287,2026-03-07,101,Cash,9006.55,0
287,Description:,Items sold,,,,
287,2026-03-11,301,Owner's Equity,0,3152.2924999999814
288,2026-03-11,201,Accounts Payable,1718.92,0
288,2026-03-11,101,Cash,0,1718.92
288,Description:,Debt payment,,,,
288,2026-03-17,301,Owner's Equity,0,2.9103830456733704e-11
289,2026-03-17,201,Accounts Payable,541.14,0
289,2026-03-17,101,Cash,0,541.14
289,Description:,Paid off a creditor,,,,
290,2026-03-19,201,Accounts Payable,1792.04,0
290,2026-03-19,101,Cash,0,1792.04
290,Description:,Reduced payable amount,,,,
290,2026-03-25,301,Owner's Equity,0,2.9103830456733704e-11
291,2026-03-25,401,Sales Revenue,0,39311.1
291,2026-03-25,501,Cost of Goods Sold,25552.215,0
291,2026-03-25,103,Inventory,0,25552.215
291,2026-03-25,102,Accounts Receivable,39311.1,0
291,Description:,Goods exchanged for money,ANOMALY,,,
291,2026-03-29,301,Owner's Equity,0,13758.88500000001
292,2026-03-29,103,Inventory,4284.95,0
292,2026-03-29,201,Accounts Payable,0,4284.95
292,Description:,Added to inventory,,,,
293,2026-04-02,502,Rent Expense,1515.32,0
293,2026-04-02,503,Salary Expense,4501.44,0
293,2026-04-02,101,Cash,0,6016.759999999999
293,Description:,Operational costs deducted,,,,
293,2026-04-11,301,Owner's Equity,6016.760000000009,0
294,2026-04-11,401,Sales Revenue,0,2898.64
294,2026-04-11,501,Cost of Goods Sold,1884.116,0
294,2026-04-11,103,Inventory,0,1884.116
294,2026-04-11,101,Cash,2898.64,0
294,Description:,Sales completed,,,,
294,2026-04-15,301,Owner's Equity,0,1014.5240000000049
295,2026-04-15,502,Rent Expense,1013.26,0
295,2026-04-15,503,Salary Expense,2976.82,0
295,2026-04-15,101,Cash,0,3990.08
295,Description:,Regular expenses,,,,
295,2026-04-16,301,Owner's Equity,3990.0800000000163,0
296,2026-04-16,401,Sales Revenue,0,7813.53
296,2026-04-16,501,Cost of Goods Sold,5078.7945,0
296,2026-04-16,103,Inventory,0,5078.7945
296,2026-04-16,101,Cash,7813.53,0
296,Description:,Items sold,,,,
296,2026-04-24,301,Owner's Equity,0,2734.735500000039
297,2026-04-24,103,Inventory,2818.75,0
297,2026-04-24,201,Accounts Payable,0,2818.75
297,Description:,Goods purchased,,,,
298,2026-05-02,401,Sales Revenue,0,8963.35
298,2026-05-02,501,Cost of Goods Sold,5826.177500000001,0
298,2026-05-02,103,Inventory,0,5826.177500000001
298,2026-05-02,102,Accounts Receivable,8963.35,0
298,Description:,Sales completed,,,,
298,2026-05-05,301,Owner's Equity,0,3137.172499999986
299,2026-05-05,101,Cash,8888.69,0
299,2026-05-05,202,Loan Payable,0,8888.69
299,Description:,Loan account adjustments,,,,
300,2026-05-15,401,Sales Revenue,0,8804.79
300,2026-05-15,501,Cost of Goods Sold,5723.1135,0
300,2026-05-15,103,Inventory,0,5723.1135
300,2026-05-15,101,Cash,8804.79,0
300,Description:,Sales completed,,,,
300,2026-05-24,301,Owner's Equity,0,3081.6765000000014
